Industry,Total followers
IT Services and IT Consulting,11351
Software Development,4380
Higher Education,2709
Business Consulting and Services,2587
Data Infrastructure and Analytics,2215
"Technology, Information and Internet",2109
Banking,1423
Financial Services,1299
Advertising Services,962
Education Administration Programs,832
Hospitals and Health Care,784
Telecommunications,757
Accounting,730
E-Learning Providers,713
Education,700
Research Services,683
Non-profit Organizations,661
Government Administration,645
Retail,562
Pharmaceutical Manufacturing,530
Insurance,529
Computer and Network Security,521
Professional Training and Coaching,515
Business Intelligence Platforms,494
IT System Data Services,477
Oil and Gas,466
Staffing and Recruiting,460
Motor Vehicle Manufacturing,450
Credit Intermediation,432
"Transportation, Logistics, Supply Chain and Storage",428
IT System Custom Software Development,415
"Appliances, Electrical, and Electronics Manufacturing",411
Computer Networking Products,382
Construction,369
Real Estate,366
Marketing Services,358
Internet Publishing,356
Information Services,329
Capital Markets,317
Investment Management,317
Market Research,308
Industrial Machinery Manufacturing,304
Utilities,277
Manufacturing,273
Insurance Carriers,272
Internet Marketplace Platforms,267
Civic and Social Organizations,254
Biotechnology Research,251
Retail Apparel and Fashion,246
Human Resources Services,239
Legal Services,233
Medical Equipment Manufacturing,228
Outsourcing and Offshoring Consulting,223
Food and Beverage Manufacturing,223
Food and Beverage Services,220
Civil Engineering,217
Telecommunications Carriers,208
Strategic Management Services,208
Primary and Secondary Education,207
Airlines and Aviation,203
Law Practice,201
Hospitals,193
Hospitality,188
Book and Periodical Publishing,185
Truck Transportation,183
Chemical Manufacturing,178
Office Administration,169
Wellness and Fitness Services,164
"Technology, Information and Media",163
Travel Arrangements,157
Automation Machinery Manufacturing,151
Consumer Services,145
Environmental Services,138
Mining,137
Events Services,135
Machinery Manufacturing,134
International Trade and Development,134
Climate Data and Analytics,134
Textile Manufacturing,128
Wholesale,127
Data Security Software Products,127
Aviation and Aerospace Component Manufacturing,126
Engineering Services,124
Restaurants,121
Media Production,119
Public Relations and Communications Services,116
Medical Practices,112
Computers and Electronics Manufacturing,112
Semiconductor Manufacturing,112
Professional Services,108
Food and Beverage Retail,106
Wholesale Building Materials,103
Defense and Space Manufacturing,100
Design Services,100
Motor Vehicle Parts Manufacturing,99
Online Audio and Video Media,98
Renewable Energy Equipment Manufacturing,93
Professional Organizations,93
Entertainment Providers,92
Measuring and Control Instrument Manufacturing,90